Company,Shortname,Link
Reliance,RI,https://www.moneycontrol.com/india/stockpricequote/refineries/relianceindustries/RI
TCS,TCS,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/tataconsultancyservices/TCS
HDFC Bank,HDF01,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/hdfcbank/HDF01
Infosys,IT,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/infosys/IT
HUL,HL,https://www.moneycontrol.com/india/stockpricequote/personalcare/hindustanunilever/HU
HDFC,HDF,https://www.moneycontrol.com/india/stockpricequote/financehousing/housingdevelopmentfinancecorporation/HDF
ICICI Bank,ICI02,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/icicibank/ICI02
Kotak Mahindra,KMF,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/kotakmahindrabank/KMB
SBI,SBI,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/statebankindia/SBI
Bharti Airtel,BTV,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/bhartiairtel/BA08
HCL Tech,HCL02,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/hcltechnologies/HCL02
Bajaj Finance,BAF,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/bajajfinance/BAF
Wipro,W,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/wipro/W
ITC,ITC,https://www.moneycontrol.com/india/stockpricequote/cigarettes/itc/ITC
Asian Paints,API,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31
Axis Bank,UTI10,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/axisbank/AB16
Maruti Suzuki,MU01,https://www.moneycontrol.com/india/stockpricequote/autocarsjeeps/marutisuzukiindia/MS24
UltraTechCement,UTC,https://www.moneycontrol.com/india/stockpricequote/cementmajor/ultratechcement/UTC01
Avenue Supermar,AS28,https://www.moneycontrol.com/india/stockpricequote/retail/avenuesupermarts/AS19
Larsen,LT,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/larsentoubro/LT
Adani Green Ene,ADANI54145,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanigreenenergylimited/ADANI54145
Nestle,NI,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/nestleindia/NI
Sun Pharma,SPI,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sunpharmaceuticalindustries/SPI
Bajaj Finserv,BF04,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajfinserv/BF04
JSW Steel,JVS,https://www.moneycontrol.com/india/stockpricequote/steellarge/jswsteel/JSW01
Adani Ports,MPS,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adaniportsspecialeconomiczone/MPS
HDFC Life,HSL01,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/hdfclifeinsurancecompanylimited/HSL01
Titan Company,TI01,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/titancompany/TI01
ONGC,ONG,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilnaturalgascorporation/ONG
Adani Total Gas,ADG01,https://www.moneycontrol.com/india/stockpricequote/adanitotalgas/adanitotalgas/ADG01
Adani Enterpris,AE01,https://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13
Hind Zinc,HZ,https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/hindustanzinc/HZ
Adani Trans,AT18,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/adanitransmission/AT22
Shree Cements,SC12,https://www.moneycontrol.com/india/stockpricequote/cementmajor/shreecements/SC12
Power Grid Corp,PGC,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/powergridcorporationindia/PGC
Bajaj Auto,BA06,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/bajajauto/BA10
Divis Labs,DL03,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03
Dabur India,DI,https://www.moneycontrol.com/india/stockpricequote/personalcare/daburindia/DI
Tata Motors,TEL,https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/tatamotors/TM03
Tata Steel,TIS,https://www.moneycontrol.com/india/stockpricequote/steellarge/tatasteel/TIS
M&M,MM,https://www.moneycontrol.com/india/stockpricequote/autocarsjeeps/mahindramahindra/MM
Tech Mahindra,TM4,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/techmahindra/TM4
NTPC,NTP,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/ntpc/NTP
SBI Life Insura,SLI03,https://www.moneycontrol.com/india/stockpricequote/diversified/sbilifeinsurancecompany/SLI03
Pidilite Ind,PI11,https://www.moneycontrol.com/india/stockpricequote/chemicals/pidiliteindustries/PI11
Britannia,BI,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/britanniaindustries/BI
SBI Card,SCP03,https://www.moneycontrol.com/india/stockpricequote/sbicardspaymentservices/sbicardspaymentservices/SCP02
BPCL,BPC,https://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC
Grasim,GI01,https://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01
Vedanta,SG,https://www.moneycontrol.com/india/stockpricequote/miningminerals/vedanta/SG
IOC,IOC,https://www.moneycontrol.com/india/stockpricequote/refineries/indianoilcorporation/IOC
Dr Reddys Labs,DRL,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL
Hindalco,H,https://www.moneycontrol.com/india/stockpricequote/aluminium/hindalcoindustries/HI
Coal India,CI29,https://www.moneycontrol.com/india/stockpricequote/miningminerals/coalindia/CI11
Cipla,C,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C
Godrej Consumer,GCP,https://www.moneycontrol.com/india/stockpricequote/personalcare/godrejconsumerproducts/GCP
L&T Infotech,LI09,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/larsentoubroinfotech/LI12
Berger Paints,BPI02,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/bergerpaintsindia/BPI02
INDUS TOWERS,BI26,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/industowers/BI14
ICICI Prudentia,IPL01,https://www.moneycontrol.com/india/stockpricequote/financegeneral/iciciprudentiallifeinsurancecompany/IPL01
Eicher Motors,EM,https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/eichermotors/EM
Motherson Sumi,MSS01,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/mothersonsumisystems/MSS01
IndusInd Bank,IIB,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/indusindbank/IIB
Siemens,S,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/siemens/S
Havells India,HI01,https://www.moneycontrol.com/india/stockpricequote/electricequipment/havellsindia/HI01
ICICI Lombard ,ILG,https://www.moneycontrol.com/india/stockpricequote/diversified/icicilombardgeneralinsurancecompany/ILG
TATA Cons. Prod,TT,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/tataconsumerproducts/TT
GAIL,GAI,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gailindia/GAI
Ambuja Cements,GAC,https://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18
Info Edge,IEI01,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/infoedgeindia/IEI01
HDFC AMC,HAM02,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/hdfcassetmanagementcompany/HAM02
Interglobe Avi,IA05,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/interglobeaviation/IA04
DLF,D04,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/dlf/D04
Aurobindo Pharm,AP,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP
Hero Motocorp,HHM,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/heromotocorp/HHM
Marico,MI25,https://www.moneycontrol.com/india/stockpricequote/personalcare/marico/M13
Cadila Health,CHC,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC
Bandhan Bank,BB09,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/bandhanbank/BB09
Biocon,BL03,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biocon/BL03
Lupin,LC03,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L
Muthoot Finance,MF19,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/muthootfinance/MF10
UPL,SI10,https://www.moneycontrol.com/india/stockpricequote/chemicals/upl/UP04
Gland,GP14,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticalsdrugs/glandpharma/GP14
P and G,PGI,https://www.moneycontrol.com/india/stockpricequote/personalcare/proctergamblehygienehealthcare/PGH
Apollo Hospital,AHE,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/apollohospitalsenterprises/AHE
Torrent Pharma,TP06,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/torrentpharmaceuticals/TP06
Chola Invest.,CIF01,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/cholamandalaminvestmentfinancecompany/CDB
Jindal Steel,JSP,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/jindalsteelpower/JSP
Colgate,CPI,https://www.moneycontrol.com/india/stockpricequote/personalcare/colgatepalmoliveindia/CPI
